,end_effector_x,end_effector_y,link_01_rotation,link_02_rotation,link_03_rotation
2020,0.3,1.0,147.38568779760536,106.57862879994865,76.03994460566201
2021,0.3,1.1,147.349556096896,109.30604627893979,79.01123398896848
2022,0.3,1.2,147.0004104869033,111.86242216073549,82.14004802510294
2023,0.3,1.3,146.35528545941725,114.32722569632882,85.38857478682021
2024,0.3,1.4,145.39829399442843,116.7979373455542,88.68347170281271
2025,0.3,1.5,144.218310513417,119.2138913682036,92.10627074120285
2026,0.3,1.6,142.84653532051166,121.58201357609542,95.62679612623755
2027,0.3,1.7,141.26615248997575,123.96590327568619,99.232562272114
2028,0.3,1.8,139.45613869954406,126.42790984881441,102.9092667627102
2029,0.3,1.9,137.48375765216278,128.89729985643538,106.70377835611079
2030,0.3,2.0,135.33149674280006,131.40931024447727,110.63744139347205
2031,0.3,2.1,132.94709136392694,134.0599051707787,114.68499100505409
2032,0.3,2.2,130.37570272633556,136.78073834740997,118.91792561108862
2033,0.3,2.3,127.56064025991482,139.64785710058996,123.36750698740678
2034,0.3,2.4,124.48063475558926,142.6869566019763,128.07267062737225
2035,0.3,2.5,121.06883232176284,145.95830985589976,133.13370761366286
2036,0.3,2.6,117.23396797074582,149.54719860433713,138.6695588604853
2037,0.3,2.7,112.82256052169885,153.59445281023756,144.87166432499117
2038,0.3,2.8,107.48542338349421,158.39754941006996,152.20100030445388
2039,0.3,2.9,100.26635056289761,164.81291045593656,161.81320748568285
2040,0.4,-3.0,277.81596054768585,179.43764357840215,180.4614406434152
2041,0.4,-2.9,293.42158359352015,149.0296615105469,195.2419410857405
2042,0.4,-2.8,304.260776202534,132.9465706756883,196.1438419524313
2043,0.4,-2.7,312.57000185617795,121.91031344874125,195.0080480878026
2044,0.4,-2.6,319.6960406700898,113.12511240240657,193.32133970245712
2045,0.4,-2.5,326.1477827185705,105.63391118489832,191.45036903500397
2046,0.4,-2.4,332.184795680648,98.98465372599922,189.524787590042
2047,0.4,-2.3,337.97258699274283,92.94070129172498,187.54769456590708
2048,0.4,-2.2,343.6171646058681,87.33250809630837,185.5727662848522
2049,0.4,-2.1,349.188891421306,82.07120654845838,183.6102548608216
2050,0.4,-2.0,354.7889447387792,77.07572913291611,181.59649684761354
2051,0.4,-1.9,0.45585744401637623,72.29004780791996,179.5931478025767
2052,0.4,-1.8,6.282529234435496,67.69156147750634,177.48508870255156
2053,0.4,-1.7,12.316399455721154,63.22448798672377,175.35298645619392
2054,0.4,-1.6,18.6561221329454,58.92086775296879,173.00994982557629
2055,0.4,-1.5,25.38891280539377,54.704387072644806,170.54864462749845
2056,0.4,-1.4,32.5958142288894,50.69734731303012,167.6968716018362
2057,0.4,-1.3,40.41300671510402,46.89321881327814,164.36641245215637
2058,0.4,-1.2,48.953294253274954,43.35921063482186,160.40334886551278
2059,0.4,-1.1,58.161540141327286,40.4524050674695,155.2850185449168
2060,0.4,-1.0,67.45926492260138,38.92551627851313,148.22003820709028
2061,0.4,-0.9,76.3661731097565,38.69156863906187,139.91266694980595
2062,0.4,-0.8,84.14892778217592,39.82066721075665,130.91782690727607
2063,0.4,-0.7,90.64866556995428,41.97132985585361,121.96278296194528
2064,0.4,-0.6,95.96770953704755,44.83920334493689,113.462113936055
2065,0.4,-0.5,100.22543772976924,48.26478910050841,105.54388246144839
